ticker,ff12,ff12_source,classification_confidence
BCBP,11,legacy_symbols_with_sector,
BCC,9,legacy_symbols_with_sector,
BCDA,10,legacy_symbols_with_sector,
BCE,7,legacy_symbols_with_sector,
BCH,11,legacy_symbols_with_sector,
BCIC,12,legacy_symbols_with_sector,
BCLI,10,legacy_symbols_with_sector,
BCML,11,legacy_symbols_with_sector,
BCO,12,legacy_symbols_with_sector,
BCOW,11,legacy_symbols_with_sector,
BCPC,5,legacy_symbols_with_sector,
BCRX,10,legacy_symbols_with_sector,
BCS,11,legacy_symbols_with_sector,
BCSF,12,legacy_symbols_with_sector,
BCTX,10,legacy_symbols_with_sector,
BCYC,10,legacy_symbols_with_sector,
BDC,3,legacy_symbols_with_sector,
BDCX,11,legacy_symbols_with_sector,
BDL,9,legacy_symbols_with_sector,
BDN,11,legacy_symbols_with_sector,
BDRX,10,legacy_symbols_with_sector,
BDSX,10,legacy_symbols_with_sector,
BDTX,10,legacy_symbols_with_sector,
BDX,10,legacy_symbols_with_sector,
BE,3,legacy_symbols_with_sector,
BEAM,10,legacy_symbols_with_sector,
BEAT,10,legacy_symbols_with_sector,
BEATW,10,legacy_symbols_with_sector,
BEEM,6,legacy_symbols_with_sector,
BEEP,11,legacy_symbols_with_sector,
BEKE,11,legacy_symbols_with_sector,
BELFA,6,legacy_symbols_with_sector,
BELFB,6,legacy_symbols_with_sector,
BEN,11,legacy_symbols_with_sector,
BEP,8,legacy_symbols_with_sector,
BEPC,8,legacy_symbols_with_sector,
BEPH,8,legacy_symbols_with_sector,
BEPI,8,legacy_symbols_with_sector,
BERZ,11,legacy_symbols_with_sector,
BETR,11,legacy_symbols_with_sector,
BETRW,11,legacy_symbols_with_sector,
BF-A,1,legacy_symbols_with_sector,
BF-B,1,legacy_symbols_with_sector,
BFAM,12,legacy_symbols_with_sector,
BFC,11,legacy_symbols_with_sector,
BFH,11,legacy_symbols_with_sector,
BFLY,10,legacy_symbols_with_sector,
BFRI,10,legacy_symbols_with_sector,
BFRIW,10,legacy_symbols_with_sector,
BFS,11,legacy_symbols_with_sector,
BFST,11,legacy_symbols_with_sector,
BG,1,legacy_symbols_with_sector,
BGC,11,legacy_symbols_with_sector,
BGI,9,legacy_symbols_with_sector,
BGLC,10,legacy_symbols_with_sector,
BGMS,10,legacy_symbols_with_sector,
BGMSP,10,legacy_symbols_with_sector,
BGS,1,legacy_symbols_with_sector,
BGSF,12,legacy_symbols_with_sector,
BH,9,legacy_symbols_with_sector,
BH-A,9,legacy_symbols_with_sector,
BHB,11,legacy_symbols_with_sector,
BHC,10,legacy_symbols_with_sector,
BHE,6,legacy_symbols_with_sector,
BHF,11,legacy_symbols_with_sector,
BHFAL,11,legacy_symbols_with_sector,
BHFAM,11,legacy_symbols_with_sector,
BHFAN,11,legacy_symbols_with_sector,
BHFAO,11,legacy_symbols_with_sector,
BHFAP,11,legacy_symbols_with_sector,
BHM,11,legacy_symbols_with_sector,
BHP,12,legacy_symbols_with_sector,
BHR,11,legacy_symbols_with_sector,
BHRB,11,legacy_symbols_with_sector,
BHVN,10,legacy_symbols_with_sector,
BIAF,12,legacy_symbols_with_sector,
BIAFW,12,legacy_symbols_with_sector,
BIDU,6,legacy_symbols_with_sector,
BIIB,10,legacy_symbols_with_sector,
BILI,6,legacy_symbols_with_sector,
BILL,6,legacy_symbols_with_sector,
BIO,6,legacy_symbols_with_sector,
BIO-B,6,legacy_symbols_with_sector,
BIOA,10,legacy_symbols_with_sector,
BIOX,5,legacy_symbols_with_sector,
BIP,12,legacy_symbols_with_sector,
BIPC,8,legacy_symbols_with_sector,
BIPH,12,legacy_symbols_with_sector,
BIPI,12,legacy_symbols_with_sector,
BIRD,1,legacy_symbols_with_sector,
BIVI,10,legacy_symbols_with_sector,
BJ,9,legacy_symbols_with_sector,
BJDX,10,legacy_symbols_with_sector,
BJRI,9,legacy_symbols_with_sector,
BK,11,legacy_symbols_with_sector,
BKD,10,legacy_symbols_with_sector,
BKE,9,legacy_symbols_with_sector,
BKH,8,legacy_symbols_with_sector,
BKKT,11,legacy_symbols_with_sector,
BKNG,12,legacy_symbols_with_sector,
BKR,3,legacy_symbols_with_sector,
BKSY,6,legacy_symbols_with_sector,
BKTI,6,legacy_symbols_with_sector,
BKU,11,legacy_symbols_with_sector,
BKYI,6,legacy_symbols_with_sector,
BL,6,legacy_symbols_with_sector,
BLBD,3,legacy_symbols_with_sector,
BLCO,10,legacy_symbols_with_sector,
BLD,12,legacy_symbols_with_sector,
BLDP,3,legacy_symbols_with_sector,
BLDR,9,legacy_symbols_with_sector,
BLFS,10,legacy_symbols_with_sector,
BLFY,11,legacy_symbols_with_sector,
BLIN,6,legacy_symbols_with_sector,
BLK,11,legacy_symbols_with_sector,
BLKB,6,legacy_symbols_with_sector,
BLMN,9,legacy_symbols_with_sector,
BLND,6,legacy_symbols_with_sector,
BLNE,11,legacy_symbols_with_sector,
BLNK,3,legacy_symbols_with_sector,
BLRX,10,legacy_symbols_with_sector,
BLTE,10,legacy_symbols_with_sector,
BLX,11,legacy_symbols_with_sector,
BLZE,6,legacy_symbols_with_sector,
