ticker,cik,sic,ff12,ff48,ff49,ff_label,ff12_source,classification_confidence,classification_issue,secondary_sector,secondary_industry,secondary_source,secondary_reason,sic_desc
AMPY,1533924,1311.0,4,-1,-1,Enrgy,sic_mapping,high,,,,,,
AMR,1704715,1221.0,4,-1,-1,Enrgy,sic_mapping,high,,,,,,
AMRC,1488139,1700.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
AMRN,897448,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
AMRX,1723128,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
AMS,744825,8071.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
AMSC,880807,3621.0,3,-1,-1,Manuf,sic_mapping,high,,,,,,
AMSF,1018979,6331.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AMST,1807166,7372.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
AMT,1053507,6798.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AMTB,1734342,6021.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AMTD,1769731,6199.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AMTM,2011286,7389.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
AMTX,738214,2860.0,5,-1,-1,Chems,sic_mapping,high,,,,,,
AMWD,794619,2430.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
AMWL,1393584,7389.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
AMX,1129137,4813.0,7,-1,-1,Telcm,sic_mapping,high,,,,,,
AMZE,1880343,5961.0,9,-1,-1,Shops,sic_mapping,high,,,,,,
AMZN,1018724,5961.0,9,-1,-1,Shops,sic_mapping,high,,,,,,
AN,350698,5500.0,9,-1,-1,Shops,sic_mapping,high,,,,,,
ANAB,1370053,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
